,State,Country,Lat,Long,Date,Confirmed,Death,Recovered,Active
15624,Kabul,Afghanistan,33.0,65.0,2020-03-25,84.0,2.0,2.0,80.0
15625,Tirana,Albania,41.1533,20.1683,2020-03-25,146.0,5.0,17.0,124.0
15626,Algiers,Algeria,28.0339,1.6596,2020-03-25,302.0,21.0,65.0,216.0
15627,Andorra la Vella,Andorra,42.5063,1.5218,2020-03-25,188.0,1.0,1.0,186.0
15628,Luanda,Angola,-11.2027,17.8739,2020-03-25,3.0,0.0,0.0,3.0
15629,St. John's,Antigua and Barbuda,17.0608,-61.7964,2020-03-25,3.0,0.0,0.0,3.0
15630,Buenos Aires,Argentina,-38.4161,-63.6167,2020-03-25,387.0,8.0,52.0,327.0
15631,Yerevan,Armenia,40.0691,45.0382,2020-03-25,265.0,0.0,16.0,249.0
15632,Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-25,39.0,0.0,0.0,39.0
15633,New South Wales,Australia,-33.8688,151.2093,2020-03-25,1029.0,7.0,4.0,1018.0
15634,Northern Territory,Australia,-12.4634,130.8456,2020-03-25,6.0,0.0,0.0,6.0
15635,Queensland,Australia,-28.0167,153.4,2020-03-25,443.0,0.0,8.0,435.0
15636,South Australia,Australia,-34.9285,138.6007,2020-03-25,170.0,0.0,6.0,164.0
15637,Tasmania,Australia,-41.4545,145.9707,2020-03-25,36.0,0.0,3.0,33.0
15638,Victoria,Australia,-37.8136,144.9631,2020-03-25,466.0,0.0,97.0,369.0
15639,Western Australia,Australia,-31.9505,115.8605,2020-03-25,175.0,1.0,1.0,173.0
15640,Vienna,Austria,47.5162,14.5501,2020-03-25,5588.0,30.0,9.0,5549.0
15641,Baku,Azerbaijan,40.1431,47.5769,2020-03-25,93.0,2.0,10.0,81.0
15642,Nassau,Bahamas,25.0343,-77.3963,2020-03-25,5.0,0.0,1.0,4.0
15643,Manama,Bahrain,26.0275,50.55,2020-03-25,419.0,4.0,177.0,238.0
15644,Dhaka,Bangladesh,23.685,90.3563,2020-03-25,39.0,5.0,7.0,27.0
15645,Bridgetown,Barbados,13.1939,-59.5432,2020-03-25,18.0,0.0,0.0,18.0
15646,Minsk,Belarus,53.7098,27.9534,2020-03-25,86.0,0.0,29.0,57.0
15647,Brussels,Belgium,50.8333,4.0,2020-03-25,4937.0,178.0,547.0,4212.0
