,State,Country,Lat,Long,Date,Confirmed,Death,Recovered,Active,New
27666,Bangkok,Thailand,15.0,101.0,2020-03-20,322,1,42,279,50
27667,Tokyo,Japan,36.0,138.0,2020-03-20,963,33,191,739,39
27668,Singapore,Singapore,1.2833,103.8333,2020-03-20,385,0,124,261,40
27669,Kathmandu,Nepal,28.1667,84.25,2020-03-20,1,0,1,0,0
27670,Kuala Lumpur,Malaysia,2.5,112.5,2020-03-20,1030,3,87,940,130
27671,British Columbia,Canada,49.2827,-123.1207,2020-03-20,271,8,4,259,40
27672,New South Wales,Australia,-33.8688,151.2093,2020-03-20,353,6,4,343,46
27673,Victoria,Australia,-37.8136,144.9631,2020-03-20,121,0,8,113,0
27674,Queensland,Australia,-28.0167,153.4,2020-03-20,184,0,8,176,40
27675,Phnom Penh,Cambodia,11.55,104.9167,2020-03-20,51,0,1,50,14
27676,Sri Jayawardenapura Kotte,Sri Lanka,7.0,81.0,2020-03-20,73,0,3,70,13
27677,Berlin,Germany,51.0,9.0,2020-03-20,19848,67,180,19601,4528
27678,Helsinki,Finland,64.0,26.0,2020-03-20,450,0,10,440,50
27679,Abu Dhabi,United Arab Emirates,24.0,54.0,2020-03-20,140,2,31,107,0
27680,Manila,Philippines,13.0,122.0,2020-03-20,230,18,8,204,13
27681,New Delhi,India,21.0,78.0,2020-03-20,244,5,20,219,50
27682,Rome,Italy,43.0,12.0,2020-03-20,47021,4032,4440,38549,5986
27683,Stockholm,Sweden,63.0,16.0,2020-03-20,1639,16,16,1607,200
27684,Madrid,Spain,40.0,-4.0,2020-03-20,20410,1043,1588,17779,2447
27685,South Australia,Australia,-34.9285,138.6007,2020-03-20,50,0,3,47,8
27686,Brussels,Belgium,50.8333,4.0,2020-03-20,2257,37,1,2219,462
27687,Cairo,Egypt,26.0,30.0,2020-03-20,285,8,39,238,29
27688,From Diamond Princess,Australia,35.4437,139.638,2020-03-20,0,0,0,0,0
27689,Beirut,Lebanon,33.8547,35.8623,2020-03-20,163,4,4,155,6
27690,Baghdad,Iraq,33.0,44.0,2020-03-20,208,17,49,142,16
27691,Muscat,Oman,21.0,57.0,2020-03-20,48,0,12,36,0
27692,Kabul,Afghanistan,33.0,65.0,2020-03-20,24,0,1,23,2
27693,Manama,Bahrain,26.0275,50.55,2020-03-20,285,1,100,184,7
27694,Kuwait City,Kuwait,29.5,47.75,2020-03-20,159,0,18,141,11
27695,Algiers,Algeria,28.0339,1.6596,2020-03-20,90,11,32,47,3
27696,Zagreb,Croatia,45.1,15.2,2020-03-20,128,1,5,122,23
27697,Bern,Switzerland,46.8182,8.2275,2020-03-20,5294,54,15,5225,1219
27698,Vienna,Austria,47.5162,14.5501,2020-03-20,2388,6,9,2373,375
27699,Jerusalem,Israel,31.0,35.0,2020-03-20,705,0,14,691,28
27700,Islamabad,Pakistan,30.3753,69.3451,2020-03-20,501,3,13,485,47
27701,Brasília,Brazil,-14.235,-51.9253,2020-03-20,793,11,2,780,172
27702,Tbilisi,Georgia,42.3154,43.3569,2020-03-20,43,0,1,42,3
27703,Athens,Greece,39.0742,21.8243,2020-03-20,495,6,19,470,77
27704,TBF,North Macedonia,41.6086,21.7453,2020-03-20,67,0,1,66,19
27705,Oslo,Norway,60.472,8.4689,2020-03-20,1914,7,1,1906,168
27706,Bucharest,Romania,45.9432,24.9668,2020-03-20,308,0,25,283,31
27707,Tallinn,Estonia,58.5953,25.0136,2020-03-20,283,0,1,282,16
27708,San Marino,San Marino,43.9424,12.4578,2020-03-20,144,14,4,126,25
27709,Minsk,Belarus,53.7098,27.9534,2020-03-20,69,0,5,64,18
27710,Reykjavík,Iceland,64.9631,-19.0208,2020-03-20,409,0,5,404,79
27711,Vilnius,Lithuania,55.1694,23.8813,2020-03-20,49,0,1,48,13
27712,Mexico City,Mexico,23.6345,-102.5528,2020-03-20,164,1,4,159,46
27713,Wellington,New Zealand,-40.9006,174.886,2020-03-20,39,0,0,39,11
27714,Abuja,Nigeria,9.082,8.6753,2020-03-20,12,0,1,11,4
27715,Western Australia,Australia,-31.9505,115.8605,2020-03-20,64,1,0,63,12
27716,Dublin,Ireland,53.1424,-7.6921,2020-03-20,683,3,5,675,126
27717,Luxembourg,Luxembourg,49.8153,6.1296,2020-03-20,484,4,0,480,149
27718,Monaco,Monaco,43.7333,7.4167,2020-03-20,11,0,0,11,4
27719,Doha,Qatar,25.3548,51.1839,2020-03-20,470,0,10,460,10
27720,Quito,Ecuador,-1.8312,-78.1834,2020-03-20,367,5,0,362,168
27721,Baku,Azerbaijan,40.1431,47.5769,2020-03-20,44,1,6,37,0
27722,Yerevan,Armenia,40.0691,45.0382,2020-03-20,136,0,1,135,21
27723,Santo Domingo,Dominican Republic,18.7357,-70.1627,2020-03-20,72,2,0,70,38
27724,Jakarta,Indonesia,-0.7893,113.9213,2020-03-20,369,32,15,322,58
27725,Lisbon,Portugal,39.3999,-8.2245,2020-03-20,1020,6,5,1009,235
27726,Andorra la Vella,Andorra,42.5063,1.5218,2020-03-20,75,0,1,74,22
27727,Tasmania,Australia,-41.4545,145.9707,2020-03-20,10,0,3,7,0
27728,Riga,Latvia,56.8796,24.6032,2020-03-20,111,0,1,110,25
27729,Rabat,Morocco,31.7917,-7.0926,2020-03-20,77,3,1,73,14
27730,Riyadh,Saudi Arabia,24.0,45.0,2020-03-20,344,0,8,336,70
27731,Dakar,Senegal,14.4974,-14.4524,2020-03-20,38,0,2,36,7
27732,Buenos Aires,Argentina,-38.4161,-63.6167,2020-03-20,128,3,3,122,31
27733,Santiago,Chile,-35.6751,-71.543,2020-03-20,434,0,6,428,196
27734,Amman,Jordan,31.24,36.51,2020-03-20,85,0,1,84,16
27735,Kiev,Ukraine,48.3794,31.1656,2020-03-20,29,3,0,26,13
27736,Budapest,Hungary,47.1625,19.5033,2020-03-20,85,3,2,80,12
